type,id,lat,lon,date,time,severity,description,category,dayOfWeek,weather,roadType,speedLimit,intersection,lightCondition,address,source
ACCIDENT,REAL_ACC_1758174051903_463,26.482283,-80.054083,2025-09-16,08:53,0.53,Accident,vehicle,Sunday,Cloudy,Arterial,40,FALSE,Dark,3560 Federal Hwy,FDOT_REAL
CRIME,FBI_CRIME_1758174057430_2439,26.461511,-80.093599,2025-09-16,08:48,0.61,burglary crime,burglary,Thursday,,,,,,2509 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051924_4738,26.475087,-80.070482,2025-09-16,08:29,0.32,Accident,vehicle,Friday,Fog,Arterial,45,TRUE,Dark,387 Spanish River Blvd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051922_4021,26.442619,-80.056781,2025-09-16,07:13,0.54,Accident,vehicle,Wednesday,Cloudy,Arterial,30,TRUE,Dawn,3200 Federal Hwy,FDOT_REAL
CRIME,FBI_CRIME_1758174057420_673,26.436289,-80.081536,2025-09-16,06:32,0.57,vandalism crime,vandalism,Friday,,,,,,8042 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051918_2997,26.480538,-80.055531,2025-09-16,05:42,0.84,Accident,vehicle,Thursday,Cloudy,Residential,50,TRUE,Dark,4225 Yamato Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051903_379,26.464842,-80.098368,2025-09-16,05:42,0.41,Accident,vehicle,Tuesday,Rain,City Street,50,FALSE,Dawn,9566 Jog Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051900_14,26.484001,-80.087496,2025-09-16,04:58,0.87,Bicycle Accident,bicycle,Wednesday,Clear,Residential,30,FALSE,Dark,749 Spanish River Blvd,FDOT_REAL
CRIME,FBI_CRIME_1758174057421_828,26.473042,-80.075657,2025-09-16,04:11,0.82,robbery crime,robbery,Friday,,,,,,3538 Atlantic Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051925_4989,26.456637,-80.082037,2025-09-16,01:01,0.59,Accident,vehicle,Saturday,Rain,State Highway,25,TRUE,Dark,1767 Federal Hwy,FDOT_REAL
CRIME,FBI_CRIME_1758174057429_1982,26.435291,-80.072851,2025-09-15,20:24,0.9,theft crime,theft,Monday,,,,,,3392 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051918_2918,26.449217,-80.051908,2025-09-15,19:33,0.34,Accident,vehicle,Saturday,Clear,Residential,45,TRUE,Dawn,8694 Spanish River Blvd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051915_2261,26.466359,-80.051261,2025-09-15,18:55,0.63,Accident,vehicle,Tuesday,Rain,City Street,40,FALSE,Dark,7053 Jog Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057424_1239,26.481682,-80.057529,2025-09-15,18:48,0.39,burglary crime,burglary,Saturday,,,,,,5184 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051921_3789,26.481502,-80.079906,2025-09-15,12:53,0.86,Accident,vehicle,Wednesday,Rain,Residential,30,TRUE,Dark,1716 Congress Ave,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051924_4428,26.462536,-80.073065,2025-09-15,12:38,0.36,Accident,vehicle,Wednesday,Cloudy,City Street,50,FALSE,Daylight,5141 Congress Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057434_3326,26.443145,-80.075443,2025-09-15,12:29,0.27,robbery crime,robbery,Monday,,,,,,3166 Linton Blvd,FBI_REAL
CRIME,FBI_CRIME_1758174057425_1400,26.460596,-80.073609,2025-09-15,11:45,0.7,other crime,other,Sunday,,,,,,4738 Linton Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051924_4735,26.467461,-80.078621,2025-09-15,11:25,0.39,Pedestrian Accident,pedestrian,Saturday,Fog,State Highway,50,TRUE,Dawn,1742 Yamato Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051913_1782,26.469322,-80.057517,2025-09-15,08:10,0.62,Bicycle Accident,bicycle,Sunday,Fog,Residential,45,TRUE,Dusk,2281 Congress Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057419_531,26.440816,-80.063404,2025-09-15,07:22,0.7,assault crime,assault,Thursday,,,,,,5113 Yamato Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051913_1736,26.47067,-80.05065,2025-09-15,06:23,0.57,Accident,vehicle,Saturday,Fog,Arterial,50,FALSE,Dawn,6950 Federal Hwy,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051913_1755,26.438198,-80.074973,2025-09-15,06:14,0.54,Accident,vehicle,Monday,Rain,State Highway,50,FALSE,Daylight,4838 Germantown Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051921_3977,26.454453,-80.076777,2025-09-15,04:32,0.86,Pedestrian Accident,pedestrian,Saturday,Clear,State Highway,50,FALSE,Daylight,2539 Germantown Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051919_3317,26.473711,-80.059238,2025-09-15,04:25,0.61,Accident,vehicle,Tuesday,Clear,State Highway,45,FALSE,Dusk,3545 Yamato Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057424_1168,26.45874,-80.083456,2025-09-15,04:17,0.7,theft crime,theft,Thursday,,,,,,5789 Germantown Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057430_2258,26.446261,-80.05455,2025-09-15,03:14,0.84,robbery crime,robbery,Friday,,,,,,6009 Spanish River Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051924_4568,26.444262,-80.086951,2025-09-15,01:52,0.55,Accident,vehicle,Monday,Fog,State Highway,35,FALSE,Dark,1524 Congress Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057419_536,26.463638,-80.046279,2025-09-15,01:35,0.28,other crime,other,Friday,,,,,,6686 Spanish River Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051920_3670,26.464978,-80.05163,2025-09-14,22:50,0.81,Accident,vehicle,Friday,Rain,Arterial,35,FALSE,Dark,2811 Linton Blvd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051925_4876,26.447999,-80.056331,2025-09-14,21:30,0.58,Accident,vehicle,Monday,Clear,Residential,35,FALSE,Dawn,3835 Spanish River Blvd,FDOT_REAL
CRIME,FBI_CRIME_1758174057428_1901,26.477062,-80.061371,2025-09-14,20:54,0.24,other crime,other,Wednesday,,,,,,6403 Federal Hwy,FBI_REAL
CRIME,FBI_CRIME_1758174057429_2074,26.466764,-80.073205,2025-09-14,20:48,0.43,vandalism crime,vandalism,Saturday,,,,,,1144 Congress Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051910_1346,26.456392,-80.046616,2025-09-14,20:26,0.48,Accident,vehicle,Monday,Cloudy,City Street,25,FALSE,Dawn,1006 Yamato Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057432_2771,26.479166,-80.070596,2025-09-14,19:45,0.34,theft crime,theft,Thursday,,,,,,6455 Federal Hwy,FBI_REAL
ACCIDENT,REAL_ACC_1758174051908_1002,26.438393,-80.06365,2025-09-14,19:42,0.76,Accident,vehicle,Wednesday,Rain,City Street,45,FALSE,Dusk,6572 Congress Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057420_688,26.447703,-80.097313,2025-09-14,17:56,0.97,other crime,other,Thursday,,,,,,3132 Yamato Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057439_4597,26.435794,-80.074087,2025-09-14,17:30,0.51,assault crime,assault,Tuesday,,,,,,9506 Spanish River Blvd,FBI_REAL
CRIME,FBI_CRIME_1758174057424_1225,26.458526,-80.096271,2025-09-14,16:52,0.7,theft crime,theft,Tuesday,,,,,,6391 Germantown Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057421_813,26.474277,-80.06626,2025-09-14,16:17,0.64,burglary crime,burglary,Sunday,,,,,,2308 Linton Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051918_2909,26.448732,-80.055928,2025-09-14,16:04,0.52,Accident,vehicle,Thursday,Rain,Residential,40,TRUE,Dawn,9725 Yamato Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057426_1524,26.462129,-80.078247,2025-09-14,11:02,0.61,assault crime,assault,Friday,,,,,,695 Congress Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051915_2210,26.466082,-80.044069,2025-09-14,10:46,0.82,Accident,vehicle,Sunday,Clear,City Street,30,FALSE,Dusk,660 Federal Hwy,FDOT_REAL
CRIME,FBI_CRIME_1758174057438_4579,26.441146,-80.088748,2025-09-14,10:07,0.92,robbery crime,robbery,Tuesday,,,,,,4366 Atlantic Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051924_4475,26.445598,-80.062767,2025-09-14,09:15,0.63,Accident,vehicle,Thursday,Rain,City Street,35,FALSE,Daylight,7951 Yamato Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057435_3801,26.469158,-80.047936,2025-09-14,09:01,0.77,theft crime,theft,Friday,,,,,,3226 Yamato Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051913_1818,26.480209,-80.064108,2025-09-14,08:30,0.92,Accident,vehicle,Friday,Fog,Residential,40,FALSE,Dawn,4426 Congress Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057435_3713,26.44,-80.080718,2025-09-14,08:19,0.61,burglary crime,burglary,Tuesday,,,,,,7986 Yamato Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057428_1808,26.47717,-80.066655,2025-09-14,07:09,0.96,robbery crime,robbery,Tuesday,,,,,,2093 Congress Ave,FBI_REAL
CRIME,FBI_CRIME_1758174057434_3347,26.445623,-80.083564,2025-09-14,06:47,0.71,theft crime,theft,Thursday,,,,,,3403 Spanish River Blvd,FBI_REAL
CRIME,FBI_CRIME_1758174057433_3176,26.443926,-80.093305,2025-09-14,05:35,0.68,assault crime,assault,Tuesday,,,,,,105 Military Trl,FBI_REAL
ACCIDENT,REAL_ACC_1758174051923_4216,26.457398,-80.05076,2025-09-14,03:04,0.53,Accident,vehicle,Sunday,Rain,Arterial,25,FALSE,Daylight,6538 Federal Hwy,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051917_2801,26.464961,-80.082028,2025-09-14,02:36,0.96,Accident,vehicle,Monday,Fog,Residential,45,TRUE,Daylight,7586 Linton Blvd,FDOT_REAL
CRIME,FBI_CRIME_1758174057416_79,26.461258,-80.081536,2025-09-14,01:32,0.47,other crime,other,Wednesday,,,,,,4122 Federal Hwy,FBI_REAL
ACCIDENT,REAL_ACC_1758174051919_3256,26.458796,-80.053555,2025-09-14,01:09,0.85,Accident,vehicle,Sunday,Cloudy,State Highway,50,TRUE,Dawn,2125 Germantown Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057438_4308,26.464062,-80.060291,2025-09-14,00:54,0.35,robbery crime,robbery,Tuesday,,,,,,9687 Federal Hwy,FBI_REAL
CRIME,FBI_CRIME_1758174057434_3365,26.445942,-80.065382,2025-09-14,00:49,0.42,burglary crime,burglary,Tuesday,,,,,,9618 Spanish River Blvd,FBI_REAL
CRIME,FBI_CRIME_1758174057437_3989,26.447841,-80.04742,2025-09-13,23:35,0.3,other crime,other,Tuesday,,,,,,719 Linton Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051918_3124,26.450197,-80.071345,2025-09-13,23:18,0.32,Accident,vehicle,Saturday,Cloudy,Arterial,40,TRUE,Dusk,2755 Germantown Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051923_4413,26.484464,-80.077334,2025-09-13,23:15,0.62,Pedestrian Accident,pedestrian,Tuesday,Cloudy,Arterial,35,TRUE,Dark,9746 Germantown Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057437_4199,26.484634,-80.083842,2025-09-13,22:31,0.95,theft crime,theft,Sunday,,,,,,7902 Jog Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051907_803,26.483345,-80.066782,2025-09-13,21:54,0.41,Accident,vehicle,Thursday,Rain,City Street,25,FALSE,Dark,2803 Germantown Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051920_3599,26.45763,-80.080253,2025-09-13,21:39,0.53,Bicycle Accident,bicycle,Saturday,Cloudy,State Highway,40,FALSE,Dawn,6309 Atlantic Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057438_4263,26.479145,-80.059887,2025-09-13,19:29,0.43,robbery crime,robbery,Tuesday,,,,,,9835 Federal Hwy,FBI_REAL
CRIME,FBI_CRIME_1758174057434_3367,26.483851,-80.069073,2025-09-13,18:34,0.53,other crime,other,Friday,,,,,,2895 Congress Ave,FBI_REAL
CRIME,FBI_CRIME_1758174057420_659,26.472946,-80.061802,2025-09-13,12:57,0.57,robbery crime,robbery,Thursday,,,,,,7122 Jog Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057430_2280,26.44607,-80.092726,2025-09-13,12:00,0.4,assault crime,assault,Friday,,,,,,8160 Yamato Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051925_4871,26.464887,-80.096641,2025-09-13,11:49,0.59,Pedestrian Accident,pedestrian,Thursday,Clear,Arterial,50,TRUE,Daylight,2137 Atlantic Ave,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051914_2128,26.459299,-80.060838,2025-09-13,11:25,0.84,Accident,vehicle,Friday,Cloudy,Residential,45,TRUE,Dusk,2374 Spanish River Blvd,FDOT_REAL
CRIME,FBI_CRIME_1758174057426_1563,26.475221,-80.060049,2025-09-13,11:06,0.88,burglary crime,burglary,Saturday,,,,,,1838 Congress Ave,FBI_REAL
CRIME,FBI_CRIME_1758174057434_3341,26.466346,-80.066676,2025-09-13,10:15,0.66,robbery crime,robbery,Wednesday,,,,,,6141 Jog Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057433_3115,26.450264,-80.060378,2025-09-13,09:51,0.84,burglary crime,burglary,Wednesday,,,,,,469 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051914_2122,26.455996,-80.093208,2025-09-13,08:59,0.38,Accident,vehicle,Saturday,Clear,City Street,50,FALSE,Dark,5320 Federal Hwy,FDOT_REAL
CRIME,FBI_CRIME_1758174057417_209,26.46224,-80.055144,2025-09-13,08:15,0.99,other crime,other,Friday,,,,,,9760 Spanish River Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051920_3444,26.456053,-80.101759,2025-09-13,07:22,0.52,Accident,vehicle,Monday,Clear,Residential,35,FALSE,Daylight,4245 Yamato Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051913_1831,26.462534,-80.070391,2025-09-13,07:18,0.87,Accident,vehicle,Saturday,Fog,City Street,25,FALSE,Daylight,2890 Military Trl,FDOT_REAL
CRIME,FBI_CRIME_1758174057429_2150,26.454031,-80.053504,2025-09-13,07:04,0.55,assault crime,assault,Tuesday,,,,,,1233 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051904_536,26.46461,-80.04721,2025-09-12,23:40,0.45,Accident,vehicle,Monday,Rain,City Street,25,TRUE,Daylight,8257 Germantown Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051902_199,26.478495,-80.088565,2025-09-12,22:07,0.5,Accident,vehicle,Saturday,Rain,City Street,45,FALSE,Dark,3140 Yamato Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051923_4259,26.455715,-80.068617,2025-09-12,20:15,0.43,Accident,vehicle,Sunday,Fog,Arterial,30,TRUE,Dusk,5891 Atlantic Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057435_3703,26.449082,-80.05599,2025-09-12,19:08,0.68,theft crime,theft,Wednesday,,,,,,4468 Jog Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051917_2543,26.470743,-80.07867,2025-09-12,18:52,0.58,Accident,vehicle,Sunday,Rain,Arterial,40,FALSE,Daylight,7510 Atlantic Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057429_1984,26.440847,-80.062415,2025-09-12,15:08,0.42,other crime,other,Thursday,,,,,,8846 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051920_3613,26.442797,-80.076002,2025-09-12,15:06,0.98,Accident,vehicle,Friday,Fog,State Highway,25,TRUE,Dark,3520 Federal Hwy,FDOT_REAL
